GRDC Agro Ecological Zones,GRDC Regions,Sub regions,Season,Crops,Area Hectares,Value Tonnes,Disease Groups,Disease,Disease Presence Status,Disease Incidence year_Percentage,Disease Incidence Area_Percentage,Disease Severity without control_Percentage,Disease Severity with control_Percentage,Disease Severity Control GeneticContributionPercentage,Disease Severity Control CulturalContributionPercentage,Disease Severity Control PesticideContributionPercentage,Average Commodity Price,FungicideResistanceRisk
NSW Central Zone,Southern,Narrandera,2015/16,Barley,35758,100999,Inflorescence Fungi,Loose smut,Y,50,80,1,0.1,0,0,100,290,No
NSW Central Zone,Southern,Nyngan,2015/16,Barley,14776,33233,Inflorescence Fungi,Loose smut,Y,50,80,1,0.1,0,0,100,290,No
NSW Central Zone,Southern,Tocumwal,2015/16,Barley,26978,64785,Inflorescence Fungi,Loose smut,Y,50,80,1,0.1,0,0,100,290,No
NSW Central Zone,Southern,Balranald,2016/17,Barley,19998,36622,Inflorescence Fungi,Loose smut,Y,50,80,1,0.1,0,0,100,229,No
NSW Central Zone,Southern,Cobar,2016/17,Barley,5205,12799,Inflorescence Fungi,Loose smut,Y,50,80,1,0.1,0,0,100,229,No
NSW Central Zone,Southern,Condobolin,2016/17,Barley,49273,89724,Inflorescence Fungi,Loose smut,Y,50,80,1,0.1,0,0,100,229,No
NSW Central Zone,Southern,Deniliquin,2016/17,Barley,70085,150471,Inflorescence Fungi,Loose smut,Y,50,80,1,0.1,0,0,100,229,No
NSW Central Zone,Southern,Griffith,2016/17,Barley,73504,157574,Inflorescence Fungi,Loose smut,Y,50,80,1,0.1,0,0,100,229,No
NSW Central Zone,Southern,Narrandera,2016/17,Barley,41813,114334,Inflorescence Fungi,Loose smut,Y,50,80,1,0.1,0,0,100,229,No
NSW Central Zone,Southern,Nyngan,2016/17,Barley,17590,54123,Inflorescence Fungi,Loose smut,Y,50,80,1,0.1,0,0,100,229,No
NSW Central Zone,Southern,Tocumwal,2016/17,Barley,31852,90951,Inflorescence Fungi,Loose smut,Y,50,80,1,0.1,0,0,100,229,No
NSW Central Zone,Southern,Balranald,2017/18,Barley,14802,22350,Inflorescence Fungi,Loose smut,Y,50,80,1,0.1,0,0,100,272,No
NSW Central Zone,Southern,Cobar,2017/18,Barley,2804,1918,Inflorescence Fungi,Loose smut,Y,50,80,1,0.1,0,0,100,272,No
NSW Central Zone,Southern,Condobolin,2017/18,Barley,40867,51102,Inflorescence Fungi,Loose smut,Y,50,80,1,0.1,0,0,100,272,No
NSW Central Zone,Southern,Deniliquin,2017/18,Barley,51875,91832,Inflorescence Fungi,Loose smut,Y,50,80,1,0.1,0,0,100,272,No
NSW Central Zone,Southern,Griffith,2017/18,Barley,60417,82405,Inflorescence Fungi,Loose smut,Y,50,80,1,0.1,0,0,100,272,No
NSW Central Zone,Southern,Narrandera,2017/18,Barley,34368,59793,Inflorescence Fungi,Loose smut,Y,50,80,1,0.1,0,0,100,272,No
NSW Central Zone,Southern,Nyngan,2017/18,Barley,9476,8109,Inflorescence Fungi,Loose smut,Y,50,80,1,0.1,0,0,100,272,No
NSW Central Zone,Southern,Tocumwal,2017/18,Barley,23576,55507,Inflorescence Fungi,Loose smut,Y,50,80,1,0.1,0,0,100,272,No
NSW Central Zone,Southern,Balranald,2018/19,Barley,8679,6196,Inflorescence Fungi,Loose smut,Y,50,80,1,0.1,0,0,100,381,No
NSW Central Zone,Southern,Cobar,2018/19,Barley,949,409,Inflorescence Fungi,Loose smut,Y,50,80,1,0.1,0,0,100,381,No
NSW Central Zone,Southern,Condobolin,2018/19,Barley,14243,9037,Inflorescence Fungi,Loose smut,Y,50,80,1,0.1,0,0,100,381,No
NSW Central Zone,Southern,Deniliquin,2018/19,Barley,60268,52040,Inflorescence Fungi,Loose smut,Y,50,80,1,0.1,0,0,100,381,No
NSW Central Zone,Southern,Griffith,2018/19,Barley,62461,48813,Inflorescence Fungi,Loose smut,Y,50,80,1,0.1,0,0,100,381,No
NSW Central Zone,Southern,Narrandera,2018/19,Barley,38347,42563,Inflorescence Fungi,Loose smut,Y,50,80,1,0.1,0,0,100,381,No
NSW Central Zone,Southern,Nyngan,2018/19,Barley,4141,2123,Inflorescence Fungi,Loose smut,Y,50,80,1,0.1,0,0,100,381,No
NSW Central Zone,Southern,Tocumwal,2018/19,Barley,26181,27585,Inflorescence Fungi,Loose smut,Y,50,80,1,0.1,0,0,100,381,No
NSW Central Zone,Southern,Balranald,2019/20,Barley,8540,7535,Inflorescence Fungi,Loose smut,Y,50,80,1,0.1,0,0,100,356,No
NSW Central Zone,Southern,Cobar,2019/20,Barley,940,846,Inflorescence Fungi,Loose smut,Y,50,80,1,0.1,0,0,100,356,No
NSW Central Zone,Southern,Condobolin,2019/20,Barley,19275,12410,Inflorescence Fungi,Loose smut,Y,50,80,1,0.1,0,0,100,356,No
NSW Central Zone,Southern,Deniliquin,2019/20,Barley,59304,64595,Inflorescence Fungi,Loose smut,Y,50,80,1,0.1,0,0,100,356,No
NSW Central Zone,Southern,Griffith,2019/20,Barley,61265,63134,Inflorescence Fungi,Loose smut,Y,50,80,1,0.1,0,0,100,356,No
NSW Central Zone,Southern,Narrandera,2019/20,Barley,37613,48514,Inflorescence Fungi,Loose smut,Y,50,80,1,0.1,0,0,100,356,No
NSW Central Zone,Southern,Nyngan,2019/20,Barley,4100,2007,Inflorescence Fungi,Loose smut,Y,50,80,1,0.1,0,0,100,356,No
NSW Central Zone,Southern,Tocumwal,2019/20,Barley,25762,35318,Inflorescence Fungi,Loose smut,Y,50,80,1,0.1,0,0,100,356,No
NSW Central Zone,Southern,Balranald,2010/11,Barley,8997,25197,Necrotrophic Leaf Fungi,Net form net blotch ,Y,45,95,19,0.3,25,65,10,250,No
NSW Central Zone,Southern,Condobolin,2010/11,Barley,61520,147422,Necrotrophic Leaf Fungi,Net form net blotch ,Y,45,95,19,0.3,25,65,10,250,No
NSW Central Zone,Southern,Deniliquin,2010/11,Barley,62475,149306,Necrotrophic Leaf Fungi,Net form net blotch ,Y,45,95,19,0.3,25,65,10,250,No
NSW Central Zone,Southern,Griffith,2010/11,Barley,64748,187115,Necrotrophic Leaf Fungi,Net form net blotch ,Y,45,95,19,0.3,25,65,10,250,No
NSW Central Zone,Southern,Narrandera,2010/11,Barley,39752,120427,Necrotrophic Leaf Fungi,Net form net blotch ,Y,45,95,19,0.3,25,65,10,250,No
NSW Central Zone,Southern,Nyngan,2010/11,Barley,17886,40648,Necrotrophic Leaf Fungi,Net form net blotch ,Y,45,95,19,0.3,25,65,10,250,No
NSW Central Zone,Southern,Tocumwal,2010/11,Barley,27139,86876,Necrotrophic Leaf Fungi,Net form net blotch ,Y,45,95,19,0.3,25,65,10,250,No
NSW Central Zone,Southern,Balranald,2011/12,Barley,7540,17639,Necrotrophic Leaf Fungi,Net form net blotch ,Y,45,95,19,0.3,25,65,10,252,No
NSW Central Zone,Southern,Condobolin,2011/12,Barley,47261,84710,Necrotrophic Leaf Fungi,Net form net blotch ,Y,45,95,19,0.3,25,65,10,252,No
NSW Central Zone,Southern,Deniliquin,2011/12,Barley,52357,104518,Necrotrophic Leaf Fungi,Net form net blotch ,Y,45,95,19,0.3,25,65,10,252,No
NSW Central Zone,Southern,Griffith,2011/12,Barley,44078,100881,Necrotrophic Leaf Fungi,Net form net blotch ,Y,45,95,19,0.3,25,65,10,252,No
NSW Central Zone,Southern,Narrandera,2011/12,Barley,27061,64927,Necrotrophic Leaf Fungi,Net form net blotch ,Y,45,95,19,0.3,25,65,10,252,No
NSW Central Zone,Southern,Nyngan,2011/12,Barley,15061,27143,Necrotrophic Leaf Fungi,Net form net blotch ,Y,45,95,19,0.3,25,65,10,252,No
NSW Central Zone,Southern,Tocumwal,2011/12,Barley,22744,60815,Necrotrophic Leaf Fungi,Net form net blotch ,Y,45,95,19,0.3,25,65,10,252,No
NSW Central Zone,Southern,Balranald,2012/13,Barley,5620,13455,Necrotrophic Leaf Fungi,Net form net blotch ,Y,45,95,19,0.3,25,65,10,289,No
NSW Central Zone,Southern,Condobolin,2012/13,Barley,42920,80014,Necrotrophic Leaf Fungi,Net form net blotch ,Y,45,95,19,0.3,25,65,10,289,No
NSW Central Zone,Southern,Deniliquin,2012/13,Barley,39021,79728,Necrotrophic Leaf Fungi,Net form net blotch ,Y,45,95,19,0.3,25,65,10,289,No
NSW Central Zone,Southern,Griffith,2012/13,Barley,37211,72995,Necrotrophic Leaf Fungi,Net form net blotch ,Y,45,95,19,0.3,25,65,10,289,No
NSW Central Zone,Southern,Narrandera,2012/13,Barley,22845,46980,Necrotrophic Leaf Fungi,Net form net blotch ,Y,45,95,19,0.3,25,65,10,289,No
NSW Central Zone,Southern,Nyngan,2012/13,Barley,11638,17573,Necrotrophic Leaf Fungi,Net form net blotch ,Y,45,95,19,0.3,25,65,10,289,No
NSW Central Zone,Southern,Tocumwal,2012/13,Barley,16951,46391,Necrotrophic Leaf Fungi,Net form net blotch ,Y,45,95,19,0.3,25,65,10,289,No
NSW Central Zone,Southern,Balranald,2013/14,Barley,7180,17489,Necrotrophic Leaf Fungi,Net form net blotch ,Y,45,95,19,0.3,25,65,10,291,No
